MAX_ATR_I_12M,NMES_ATR15_I_U6K_24M,RTOT_DACT_DTOT_24M,VAR_PROM_ENT_ACTU_24M,NMES_UATR3_I_24M,VAR_PROM_DEUDIR_ACTU_12M,INC_SUM_ACTSH_ACTU_24M,MAX_ENT_12M,N_NOR_24M,NMES_UATR15_I_U6K_24M,FLG_CLI_DEF60
9,0,0.876990506,0.0,6,-0.764168208,2.824694762,2,24,0,0
0,0,1.0,0.0,0,-0.115756761,14.42197144,1,17,0,0
1,0,0.733215965,-0.027777778,0,-0.353527781,9.59093501,3,24,0,0
11,0,0.746668932,0.0,6,-0.043716735,32.31476248,2,22,0,0
1,0,0.969599752,0.0,0,-0.355639188,12.15836941,1,24,0,0
0,0,0.904104095,-0.333333333,0,-0.313942806,11.22088114,3,24,0,0
3,0,1.0,0.0,9,-0.343835921,9.570536,1,15,0,0
0,0,0.529051808,0.0,0,0.960135638,37.88548046,1,22,0,0
6,0,0.993155762,-0.236111111,1,-0.537204942,9.114863239,4,18,0,0
1,0,0.938015593,0.0,20,-0.683889632,11.16012165,1,24,0,0
4,0,0.935577867,1.125,1,0.123666556,18.30132546,4,24,0,0
11,0,0.61957973,0.0,0,0.188277533,27.01554358,1,17,0,0
6,0,0.917669137,0.0,1,-0.09712214,16.63153063,2,24,0,0
3,0,0.90928052,0.0,11,-0.00281025,28.01001203,5,24,0,0
5,0,0.054103884,0.0,3,-0.104466167,15.40073425,1,19,0,0
2,0,0.745399998,0.541666667,21,-0.306011394,31.74850886,2,24,0,0
3,0,0.750026391,0.0,11,-0.043651927,21.92122552,1,24,0,0
3,0,0.831280804,0.0,6,0.247024778,26.69366123,2,24,0,0
0,0,0.922691016,-0.152777778,0,0.292633818,36.91433588,4,24,0,0
4,0,0.62682053,-0.333333333,3,-0.462589951,9.572294398,2,24,0,0
1,0,1.0,-0.083333333,0,-0.29434787,11.59038428,3,22,0,0
0,0,0.678488027,-0.456521739,0,-0.393400217,9.939307054,2,23,0,0
7,0,0.383774354,0.0,0,0.247442853,61.65909944,1,24,0,0
4,0,0.975620507,0.229166667,3,0.102894232,21.24035969,2,24,0,0
0,0,0.76644019,0.125,0,0.185449724,28.94645938,4,24,0,0
3,0,0.842354459,0.0,11,0.818263369,56.26947392,1,24,0,0
